"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
1.7634176,5.8925653,5.003057,3.5243871,6.684481,2.726305,9.293123,6.302005,7.2989774,3.7383873,5.229393,6.4229555,2.4906464,4.4070168,5.1500273,3.43253,4.1072955,4.7176175,3.0005922,1.9780811,2.5187745,5.066806,6.5486546,7.0149007,5.4043775,6.5508003,5.8931713,3.152182,2.7022069,7.3428836,11.103707,2.0135705,8.07965,4.0995727,6.395793,6.390465,5.4552298,5.8950715,6.3770127,4.345819,4.6620026,3.499781,4.279191,5.3674164,3.1951857,4.213824,3.3485231,5.597452,2.2316465,6.250587,4.4313974,4.949209,4.2895055,3.8690753,6.2371,4.086044,5.2764688,8.562551,6.270261,2.4020085,4.7608075,1.6346536
1.6735396,4.830311,5.5688825,4.118828,6.3450665,1.9133127,7.904457,6.1759605,5.914105,3.2632957,5.0371585,5.1172295,1.7036953,4.4611,4.638947,4.4154,3.741975,4.361936,4.305127,1.7740575,2.1791127,4.139423,5.7199955,6.4314384,5.4435444,6.03115,5.757211,3.1244302,2.2661762,6.289629,12.337783,1.4745553,8.372981,3.898399,6.722979,5.7224417,4.966166,3.9999888,9.141736,4.249597,4.1254344,4.2799788,4.4085317,5.675079,2.8979056,3.4386613,3.1601944,2.9329057,7.4984603,5.689477,6.6858697,4.213039,6.692843,3.5102134,6.0439916,6.49093,4.4140286,7.040881,5.913206,5.328526,4.9991612,1.863381
1.7974213,5.330669,5.642884,3.5222816,6.2294827,1.8401942,8.763372,7.635161,6.201939,3.9537954,4.029629,5.3430166,1.8325499,4.3160205,5.09007,3.356962,3.4734766,4.5224094,3.0734646,1.539761,2.1084318,3.9372218,5.94683,6.6128297,5.4183717,6.098106,5.1894197,2.914756,2.713965,7.114177,12.564169,1.7192594,7.783986,3.9594607,6.8237467,5.5435476,5.4117985,4.825122,6.7551847,4.5896196,3.7338285,3.581137,5.2019615,5.050903,2.652159,3.6969085,3.104943,3.645191,2.987377,5.9243965,4.3177247,4.427234,4.3696346,3.3858278,6.0177164,3.6849425,3.2426314,7.7897635,5.973565,2.243221,4.6908,1.4233433
1.8769904,6.013207,4.5466094,3.648303,7.4877286,3.9035738,10.242413,6.0921063,6.5090637,3.8114884,5.4315104,5.6327834,2.6064608,4.5345964,5.4258456,3.0432758,4.3290834,4.923417,3.3090484,1.9703484,2.247526,4.99839,7.1412144,6.644982,5.529516,6.3127556,5.7870636,3.8628578,3.1464763,7.1899114,12.181514,1.9172318,7.992118,4.625145,5.967258,6.1479063,5.588657,4.646033,6.885951,4.4048824,5.1567645,3.8466265,4.770422,4.610252,3.4411798,4.258948,4.574962,4.5316014,3.0482616,6.0910153,4.2817,5.7715592,4.6059875,3.953534,6.0984564,4.0361915,5.382862,7.750566,6.229445,2.4411583,4.818047,2.4991736
1.8648922,6.6018443,4.554488,3.4550626,7.2755847,2.563831,9.170764,6.745364,7.711485,4.154408,5.138215,4.9394703,2.7615497,4.3970637,5.0036254,3.5658457,4.0862365,4.8399835,3.2355952,1.8849232,2.1096063,5.033872,7.1031303,6.7674723,5.476209,6.628651,6.240027,3.0338228,2.7299354,7.350434,12.969011,1.993651,7.7193494,4.0267963,6.8303466,6.277824,5.19079,7.1833024,7.1265755,4.341856,4.296925,4.059745,4.5393257,6.9592533,3.2548742,4.4539375,2.9679148,3.4336965,3.9923031,5.9407344,4.649311,4.544189,5.6469455,3.7808628,7.3007736,5.1898346,4.693455,8.7093115,6.033795,3.478345,4.4835076,1.6805725
1.4461812,8.592453,3.7846105,3.828782,7.432757,2.338116,10.167507,6.065236,8.780655,5.3724656,8.37308,5.3966885,4.855505,6.326364,6.557923,3.0409138,4.152413,6.450877,3.0822399,1.677702,1.9028337,5.48129,7.4983153,6.0631337,5.570249,7.257626,5.8308535,3.3133128,4.2368655,7.275352,10.391452,2.555765,8.228451,4.304124,5.8157964,5.058336,5.720157,8.149988,7.050391,4.276754,5.6788025,3.4135547,6.3307395,5.0376725,3.4167447,4.3673143,3.6109226,5.6580057,2.9617243,6.056971,4.5619016,5.1973968,4.6575904,4.2969747,7.751457,4.3003063,5.483369,8.292065,7.0149446,2.611585,4.603069,2.4800987
2.2537093,5.5387225,4.109099,5.2375526,6.4434323,2.772099,9.292562,6.6929474,6.0547943,3.7805448,5.473072,5.1487293,3.7286637,4.3076124,5.355938,3.104716,3.7930462,4.858073,3.255236,1.6848818,1.9342561,4.6171002,6.0894117,6.4794927,6.333091,6.202549,5.611728,3.8639724,3.714033,7.409238,11.881661,1.816033,7.698773,3.9046078,5.9475794,6.04795,5.562661,4.606122,6.922902,4.37595,4.4565444,3.567345,4.834936,4.5537777,2.8823788,4.2362146,3.9705038,3.379664,3.0330412,5.8458767,5.7756944,5.193748,4.296836,3.5631948,5.853766,5.573422,4.928165,7.238136,6.7900195,4.407311,5.014392,3.2444487
2.627108,5.0390935,3.9500887,2.8725293,6.1181455,4.4285846,6.8607206,6.2734466,6.912254,3.132472,4.1038723,5.4775996,2.605711,4.1594105,4.4419723,3.3270671,4.1599545,3.9697237,3.3703265,1.70051,2.5559099,4.557093,5.843051,7.3690977,5.004774,5.978686,5.2347727,3.2793055,2.5244868,6.0525703,9.044579,1.6464156,7.326563,4.415805,6.011539,5.186813,5.4324336,3.6420975,6.684978,4.5291376,4.4937634,3.337023,4.0949874,4.7965584,2.9405222,4.3624325,3.2835674,3.1177688,2.2965884,5.9357038,3.5226176,5.1945944,4.4117856,2.9537005,5.877659,3.510112,5.0122824,8.997407,5.197381,1.7391831,4.633478,2.5163612
2.2851171,4.9351745,4.5123725,3.674313,5.947928,2.9381144,7.386002,6.455577,5.3827534,3.2226233,4.223509,5.397206,2.2297843,4.183034,4.509511,3.236446,3.716533,3.7916424,3.1889973,1.8237202,2.4560938,4.336877,5.9305177,6.7920823,5.51223,6.0095844,5.2947836,3.3251553,2.6425772,6.42162,10.086094,1.4546751,7.3161087,4.017303,5.8762903,5.3641663,5.6517563,3.2796748,6.807451,4.4621186,4.3986607,3.2110274,4.4118853,3.9562988,2.857206,4.0936084,3.6157453,3.2868154,2.763566,5.8478317,4.1811523,5.108884,4.0156612,2.798183,5.7355204,4.024578,5.143156,7.7462735,5.788432,2.3693128,5.0205007,2.287133
1.7101885,6.366741,6.1954207,3.6128857,6.624121,2.2551725,9.591195,6.671696,7.5922627,4.065797,6.544855,5.5826235,2.5822902,4.3080735,5.742037,4.857056,3.7096398,4.839326,4.238824,1.6825242,2.0416121,4.7729683,6.2618265,6.5393825,5.5596647,6.9300056,5.527719,3.1725905,2.955592,6.636665,13.171185,2.6935172,8.718573,3.8510923,7.5507116,5.411987,5.2610526,6.1020503,8.511713,4.149309,5.006333,4.4863734,4.950859,6.666608,3.4638796,4.1283336,3.0671728,3.5721276,7.674506,5.9321055,5.754568,3.980809,6.167138,4.0892,7.691951,6.0214815,5.2166524,9.4560585,5.929768,5.5689063,4.8840003,1.8746592
