"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
1.832293,6.701353,4.695323,3.375046,6.937323,2.91221,7.965994,6.228219,8.02403,3.706414,5.761506,5.667504,2.505153,4.684278,5.252637,3.31896,4.296568,5.003669,3.178821,1.893467,2.020486,4.990343,6.466846,6.590529,5.582616,6.82754,5.616938,3.221372,2.757901,6.359762,10.513141,1.829563,7.744241,4.149126,5.813512,5.287206,5.507525,5.876584,6.592039,4.535894,4.790816,3.564135,4.406505,5.398521,3.220942,4.515378,3.056789,3.913475,2.656399,6.170167,4.245653,4.979973,4.604049,3.848834,6.459277,4.113193,4.784518,8.702386,6.351833,2.365145,4.713978,2.232014
1.967099,4.454789,5.55994,3.633024,6.217546,2.308255,7.471851,6.096544,6.014888,3.44683,4.454502,5.491247,2.087658,3.825984,4.862478,3.275639,3.6471,4.461164,3.437298,1.823696,2.250998,4.304585,5.720614,6.857018,5.57675,5.753346,5.432092,3.021374,2.465193,6.645767,11.170285,1.734159,7.567994,4.024367,5.889339,5.376615,5.356328,4.005599,7.085671,4.620958,4.153115,3.578407,4.354875,4.91394,2.818064,4.074296,3.090034,2.962539,4.435799,6.036302,4.678654,4.807817,4.617586,3.36683,5.841315,4.190287,4.177341,7.670005,5.934061,2.878353,4.906117,2.290583
1.899307,4.855823,4.574546,3.52588,6.072319,2.261669,7.500244,6.159798,5.76416,3.270003,4.447668,5.10872,1.776029,3.665735,4.846924,2.765377,3.582546,4.764704,2.976984,1.724929,2.078535,4.07906,5.775677,6.464513,5.229188,5.793285,5.096894,2.817101,2.2788,6.368035,10.301355,1.540553,7.223223,3.915259,5.673005,5.139627,5.012422,3.589092,6.10497000000001,4.493029,3.848593,3.082198,4.239788,4.386386,2.691439,3.840846,2.72337,2.961333,2.298146,5.710335,4.191092,4.493999,3.863607,3.511585,5.794391,3.759948,3.698236,7.545707,5.889573,2.159828,4.472143,2.128449
2.130186,6.956488,4.905832,3.786151,7.199352,3.265498,8.494272,6.436143,7.955037,4.10781,6.245749,6.022793,2.682899,5.055021,5.449431,3.524313,4.465384,5.251163,3.388914,1.969296,2.18489,5.110682,6.716524,6.59063,5.574588,7.201785,5.829179,3.497184,3.18031,6.774011,11.109613,2.185017,8.015401,4.241993,6.284084,5.498406,5.735158,5.506028,7.143128,4.412379,5.09126,3.860567,4.902643,5.279624,3.498866,4.683646,3.581308,4.116155,3.690784,6.536001,4.612333,5.519452,4.885607,3.920581,6.544692,4.300743,6.151733,8.597929,6.42146,2.856478,4.981532,2.895943
2.090175,6.462857,4.678882,3.434141,7.151207,2.913294,7.83427599999999,6.359157,7.934136,3.668268,5.598639,5.500233,2.176625,4.326837,5.117488,3.54901,4.310396,5.056014,3.187831,1.993344,2.04238,4.91851,6.323971,6.776004,5.522814,7.08677200000001,5.517102,3.040749,2.564715,6.254175,10.222665,1.864212,7.350017,4.159755,5.954121,5.159948,5.425842,5.815887,6.627191,4.446408,4.523185,3.427002,4.394474,5.696248,3.194435,4.357228,2.712507,3.70574,3.062802,6.0894,4.306172,4.844498,4.491104,3.729635,6.456329,4.213495,4.243025,8.855544,6.165503,2.436749,4.542097,1.881724
1.613028,7.461549,4.11708,4.193896,7.164026,2.985194,9.027051,6.439741,8.01181500000001,4.286582,6.766187,5.291019,2.88428,5.171969,5.819827,3.427784,4.352842,5.795446,3.140732,1.784153,1.957531,5.12142,6.851505,6.302958,5.828119,7.223082,5.694601,3.386007,3.233078,6.778135,11.04766,2.106895,8.160107,4.152716,6.012914,5.373327,5.646323,6.349717,6.912434,4.310655,4.990778,3.685784,4.942068,5.386507,3.186522,4.46927,3.138248,4.184617,3.388287,6.020706,4.835541,5.191497,4.813513,4.356838,6.943762,4.62388,5.028644,8.685408,6.684045,3.034424,4.628487,2.540828
2.586406,6.300316,4.618939,4.100341,6.38391,3.316688,8.078602,6.708483,6.911879,4.00951,5.662573,5.714711,3.28854,4.778168,5.241505,3.395376,4.121175,4.997293,3.444169,1.77744,2.088833,4.77672,6.527793,6.85195,5.340326,6.406055,5.770988,3.75726,3.323866,6.959463,11.005606,2.129994,7.988656,4.009727,6.09844,5.45032,5.919474,4.43967,7.214346,4.405361,5.095796,3.767827,4.813738,4.904028,3.050856,4.609227,4.00967,3.876521,3.651908,6.369344,4.510129,5.817792,4.853904,3.553292,6.054608,4.32171,6.622066,8.095724,6.36467,2.785043,4.995628,3.689941
2.779477,5.407918,3.610384,3.146612,6.343516,3.187953,7.058528,6.49305,7.609519,3.395811,4.612329,5.814377,2.576224,4.358731,4.643816,3.40716,4.187543,4.569107,3.131634,1.778147,2.353661,4.654657,6.075685,7.23696,5.220192,6.514223,5.418936,3.234223,2.604759,6.200434,9.14444899999999,1.718235,7.054329,3.980706,5.739988,5.257206,5.652573,4.714058,6.182824,4.587358,4.516919,3.09376,3.966232,5.163069,2.920154,4.589807,3.14249,3.236684,2.313196,6.205517,3.980163,5.106843,4.185659,3.298749,6.056584,3.776013,4.488904,8.710565,5.5059,1.987029,4.596743,2.345404
2.202262,5.115231,4.116824,3.184058,6.323743,2.782778,7.250134,6.355942,6.625998,3.385964,4.300393,5.794369,2.447403,3.91078,4.784478,3.278666,3.994505,4.388901,3.243624,1.854261,2.340417,4.435864,5.688563,7.039556,5.261808,5.893178,5.347795,3.124798,2.517896,6.322377,9.780186,1.726446,7.18998,4.033438,5.689487,5.422501,5.51652,3.800677,6.324175,4.715188,4.328152,3.22224,4.142903,4.671935,2.909644,4.126058,3.03188,3.120663,2.546202,6.310947,4.021341,4.95672,4.175393,3.248232,5.841515,3.75971,4.510429,8.038376,5.801743,2.119854,4.778609,2.269911
1.812872,6.43287,5.599221,4.095063,6.96085,2.626841,8.792357,6.39281,8.02934899999999,4.006697,6.030406,5.496337,2.165171,4.485565,5.487505,3.998836,4.146406,5.237237,3.651709,1.832991,1.975984,5.081191,6.580908,6.634081,5.710788,7.311791,5.680903,3.097097,2.776633,6.790953,11.12238,2.044626,8.136618,3.797929,6.418799,5.313819,5.466771,6.142928,8.088221,4.276196,4.811607,4.091979,4.779988,6.218099,3.20383,4.356584,2.74663,3.894362,5.44444,6.03186,5.450003,4.789326,5.354618,4.077429,6.746061,5.156384,4.468401,8.979176,6.421579,4.174108,4.580075,1.992626
1.997213,4.512874,4.704075,3.390862,6.257607,2.604152,7.471339,6.269188,5.850356,3.50619,4.340945,5.618881,2.415814,3.921715,4.795895,3.013253,3.769148,4.374974,3.246412,1.850052,2.340937,4.261053,5.779626,6.877535,5.366487,5.928509,5.44686,3.161381,2.539214,6.688221,10.239378,1.614778,7.328334,4.106375,5.70508,5.506917,5.321325,3.761756,6.56488,4.543777,4.107275,3.417709,4.286594,4.541599,2.848547,4.139616,3.101909,3.185306,2.920417,6.170577,4.141597,4.98129,4.208065,3.321585,5.799586,3.918327,4.269647,7.908184,5.813132,2.392085,4.929324,2.302846
2.62484,5.373169,4.643666,3.660175,6.198224,3.22271,7.696795,6.686024,6.225282,3.824521,4.984767,5.491406,3.027345,4.310092,5.174969,2.996364,3.884283,4.873717,3.29083,1.780174,2.163818,4.476458,6.268573,6.811936,5.327929,6.071108,5.615736,3.501899,3.029962,6.887515,11.262228,1.898383,7.870897,3.988556,5.775278,5.544845,5.800521,3.793814,6.986892,4.467361,4.837075,3.731143,4.496416,4.588272,2.88038,4.417412,3.693909,3.445608,3.358799,6.196041,4.350008,5.545896,4.360624,3.35491,5.91812,4.030004,5.542506,7.707864,6.121587,2.587459,4.8521,3.229908
1.722565,8.11025,4.585486,4.243278,7.221733,2.730025,9.989762,6.541114,8.189545,4.685207,7.731169,5.449866,3.697218,5.445233,6.101512,3.949195,4.320311,5.844787,3.50088,1.845768,1.937968,5.386834,7.329623,6.265891,5.827268,7.433898,6.211286,3.622088,3.709965,7.014318,11.525332,2.458838,8.521987,4.443693,6.456034,5.54574,6.157975,6.653724,7.724168,4.298856,5.62855,4.059501,5.016103,5.83131,3.66852,4.615202,3.832952,4.886239,4.340852,6.572351,5.137278,5.429247,5.516362,4.347999,7.209666,4.909237,7.475882,8.846007,6.674989,3.605315,4.824499,3.626977
2.908279,5.6555,4.072737,4.06059,6.060713,3.334857,7.570409,6.764825,6.718009,3.823367,5.393671,6.123695,3.199079,4.53462,4.956095,3.413287,4.215506,4.680698,3.361993,1.88703,2.343315,4.597505,6.397777,7.004811,5.404101,6.065525,5.440408,3.621636,3.079486,6.605204,10.265539,2.029485,7.388126,3.991475,5.969226,5.520058,6.053583,3.84439,6.872917,4.559099,5.160293,3.502885,4.335726,4.817444,2.974353,4.639727,4.061872,3.624754,2.977475,6.397817,4.328756,5.792227,4.372513,3.29374,5.812314,4.134455,6.364263,8.183907,5.856018,2.6265,4.989376,3.967727
1.879678,6.238003,4.401891,3.299736,6.719662,2.939489,7.712324,6.3239,7.755661,3.517089,5.088572,5.385794,2.208715,4.161476,4.977954,3.232336,4.249934,4.944265,3.07134,1.809442,1.937546,4.687908,6.273584,6.669701,5.497268,6.825297,5.405953,2.994047,2.6803,6.22794,10.033077,1.760795,7.351761,3.986388,5.737502,5.066345,5.485986,5.744473,6.453396,4.539676,4.3355,3.298221,4.170592,5.354311,3.021377,4.265902,2.638544,3.587554,2.723206,6.02088,4.191922,4.824497,4.433,3.66009,6.39413,4.086272,3.981924,8.476904,6.123607,2.292756,4.445769,1.844727
2.179066,6.966084,4.893425,3.826561,6.925519,3.099734,8.301978,6.614709,8.178901,3.79738,5.997836,5.725084,2.847715,4.748089,5.332994,4.051753,4.399336,5.381657,3.407497,1.977286,2.152656,5.050366,6.675715,6.784563,5.690284,7.458334,5.738207,3.269363,2.997999,6.576642,10.743437,1.976002,7.87671,4.002507,6.46799,5.521626,5.715813,6.091995,7.031538,4.445073,4.954766,3.747071,4.435908,5.658072,3.374157,4.646222,3.047911,4.075955,3.570698,6.436282,4.622213,5.192702,4.713442,3.972414,6.831466,4.321993,5.296245,9.005405,6.410186,3.04043,4.695866,2.647427
1.77493,7.452203,5.124109,4.086064,7.341267,3.023606,9.224751,6.394273,8.162715,4.540054,7.367835,5.570464,3.15541,5.585663,6.084333,3.577489,4.287732,5.668606,3.518237,1.92716,1.992532,5.267973,7.11422,6.471815,5.771827,7.186515,6.06647,3.576153,3.470327,7.145368,11.690556,2.310088,8.558533,4.450226,6.228338,5.501814,5.896853,6.361392,7.983,4.342045,5.39677,4.185271,5.053355,5.72452,3.504804,4.582398,3.801675,4.598364,5.32183,6.089377,5.23085,5.363741,5.474459,4.421869,6.95088,4.934139,7.013051,8.625629,6.692032,3.749057,5.013274,3.441869
2.493985,7.953267,4.722978,4.261001,6.834849,3.068727,8.595033,6.786648,8.169053,4.145865,6.551325,5.793435,3.684277,5.179929,5.637566,4.112305,4.439247,5.373942,3.626564,1.854504,2.020302,5.170041,6.918287,6.669348,5.631771,7.490907,6.138546,3.721981,3.47396,6.720267,10.82192,2.365314,8.070809,4.279103,6.620992,5.383758,6.397699,6.01208,7.624871,4.484094,5.382679,3.924456,4.676641,5.653738,3.429536,5.018172,4.15234,4.378929,4.401085,6.59625,4.930017,5.912647,5.290502,3.789493,6.900582,4.667232,7.049708,8.912566,6.513509,3.41443,4.944539,3.678898
1.95619,5.382995,3.402547,3.18556,6.44877,2.439344,7.2142,6.130809,7.286181,3.172772,4.784056,5.225786,1.878977,3.894482,4.66222,3.204893,3.87538,4.442599,2.835568,1.777532,2.104976,4.386547,5.938947,6.767343,5.29509,6.331488,5.361774,2.746743,2.226987,5.944335,9.087009,1.608774,6.848303,3.884407,5.625769,4.992456,5.189717,4.541112,5.769699,4.404097,4.152408,2.926072,3.920889,4.801211,2.860088,3.969949,2.520366,3.157426,1.587931,5.821542,3.859453,4.494787,3.922917,3.351573,5.80133,3.695213,4.016571,8.032668,5.716175,1.846043,4.357428,1.859755
2.741187,6.832334,5.021541,4.162719,6.997217,3.380573,8.482962,6.883704,7.674066,4.15016,6.810493,5.701195,3.668715,4.916144,5.837075,3.652285,4.456283,5.549225,3.522212,2.005966,2.175413,5.285978,7.020113,6.827499,5.680013,7.173377,6.049524,3.771025,3.601911,6.793119,11.216182,2.324909,8.32291,4.245236,6.331182,5.540383,6.148227,5.795073,7.568922,4.501607,5.460399,4.082984,4.916538,5.412842,3.372748,4.870691,4.047139,4.168478,4.301357,6.497015,4.876232,5.906941,5.221213,3.940244,6.489153,4.529609,6.875953,8.61406,6.626731,3.269458,5.141439,4.054688
2.153292,5.777228,4.631725,3.359188,7.008313,2.565735,7.394533,6.003703,7.403568,3.31177,5.185169,5.427659,1.917776,3.67619,4.698326,3.243147,4.212662,4.494293,3.102602,1.939462,2.27459,4.848155,6.164888,6.879461,5.509488,6.570499,5.473062,2.889315,2.323982,5.890636,9.691399,1.739163,7.162451,3.923148,5.779118,5.206606,5.332338,5.217923,6.280742,4.751529,4.125579,3.279027,4.048113,4.978069,3.092695,4.190777,2.745997,3.283452,2.306029,6.056938,4.226636,4.665072,4.399705,3.448904,6.067929,4.023139,4.584765,8.386533,5.907906,2.272719,4.634303,2.061481
2.070818,7.046796,4.906319,4.019572,7.072234,3.108765,8.481736,6.696424,8.157894,4.103151,6.488459,5.532119,3.052769,5.025624,5.60175,3.707851,4.322801,5.63744,3.407946,1.83928,1.997217,5.10347,6.84212,6.527788,5.729134,7.183129,5.724601,3.370956,3.17148,6.785264,11.036041,2.078194,8.039198,4.114684,6.290503,5.380487,6.078168,6.094564,7.287953,4.406957,5.115135,3.825774,4.687141,5.685873,3.265766,4.625384,3.274714,4.169817,4.363091,6.080078,4.876419,5.341951,4.908181,3.981547,6.856015,4.535293,5.907036,8.826076,6.60406,3.195075,4.730041,2.972734
