"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
1.972708,6.479715,4.770274,3.377617,6.952715,2.820141,8.065777,6.384704,7.856389,3.705917,5.53437,5.786191,2.51321,4.556457,5.3062,3.486691,4.32564,5.048283,3.126856,1.978936,2.073813,4.950694,6.455781,6.646177,5.543596,6.843155,5.616237,3.221307,2.749477,6.646616,10.73536,1.910242,7.909341,4.111819,5.800189,5.412419,5.429978,5.724969,6.619708,4.616888,4.770105,3.644046,4.478955,5.37809699999999,3.273629,4.394316,3.166761,3.802752,2.673948,6.132653,4.216256,5.001507,4.587689,3.755398,6.560667,4.107475,4.659528,8.711602,6.35593,2.277894,4.72226,2.215461
1.877778,4.459003,5.219816,3.410486,6.160503,2.279575,7.329612,6.169288,6.187672,3.455113,4.458868,5.553818,2.077321,3.785979,4.629559,3.126269,3.668739,4.156617,3.305471,1.817469,2.232775,4.303144,5.615254,6.838056,5.330112,5.809075,5.223033,3.03153,2.394606,6.713018,10.560476,1.652114,7.43301399999999,3.996584,5.747889,5.370031,5.071962,3.867759,6.778706,4.645411,3.983554,3.541461,4.265331,4.844289,2.754823,4.009129,3.126668,2.995454,3.621763,6.060861,4.279591,4.84674,4.433048,3.353266,5.680745,4.090527,4.522508,7.749135,5.770427,2.475889,4.804237,2.584346
1.863227,4.529909,4.367305,3.356372,6.119276,2.163781,7.393338,6.168727,5.931512,3.226681,4.360792,5.107402,1.747832,3.576459,4.826381,2.681435,3.552261,4.464103,2.895062,1.670384,2.047521,4.076843,5.595298,6.616582,5.237789,5.834529,5.031144,2.831091,2.331741,6.347798,10.074049,1.487147,7.177694,3.765458,5.524419,5.15486,4.966095,3.956075,5.872774,4.371003,3.861179,3.056605,4.355435,4.28949,2.742548,3.660864,2.871213,3.027474,2.144941,5.864869,4.008251,4.533326,3.744261,3.365456,5.750489,3.684732,3.33563,7.498625,5.874295,2.031893,4.567143,1.76856
2.280098,6.802639,4.914551,3.729129,7.029857,3.047923,8.65366,6.476489,7.920392,4.088578,6.30051,5.936801,2.904798,4.957396,5.525682,3.598363,4.417757,5.291445,3.518044,1.991854,2.29001,4.988456,6.951603,6.737165,5.560831,6.928685,5.755457,3.557274,3.157269,6.836972,11.265026,2.098374,8.005898,4.319614,6.311857,5.598651,5.666307,5.346294,7.124249,4.463254,5.124226,3.882548,4.839431,5.318466,3.47612,4.581007,3.829569,4.147962,3.462511,6.551801,4.588604,5.341831,4.888607,4.005418,6.502766,4.312098,6.107714,8.49779200000001,6.44337,2.828386,4.970783,3.061352
2.025096,6.271823,4.801428,3.278724,7.075393,2.99707,7.806733,6.328528,7.750012,3.603403,5.364928,5.303388,2.544941,4.167449,4.952055,3.330183,4.309977,4.65998,3.056373,2.021026,1.961638,4.908768,6.342094,6.832325,5.550136,6.97085,5.515879,3.037847,2.511661,6.268138,10.385802,1.828948,7.476607,4.082301,5.750013,5.186126,5.726031,5.463012,6.465927,4.52443,4.530703,3.452719,4.420977,5.4307,3.191217,4.372533,2.782685,3.5932,2.892002,5.852802,4.23106,4.691195,4.461709,3.742876,6.381051,4.134692,4.103651,8.682923,6.180672,2.392727,4.621214,1.862607
1.573083,7.275286,4.242966,3.922072,7.215137,2.904996,9.405045,6.414521,8.140136,4.383957,6.861471,5.157533,2.973415,5.139661,5.745778,3.321396,4.228683,5.862523,3.189458,1.7078,1.81544,5.259594,6.987529,6.299631,5.676751,7.337918,5.845961,3.375395,3.39766,6.863448,11.080159,2.275675,8.090204,4.203172,5.832133,5.5542,5.684653,6.498738,6.950487,4.300507,5.017607,3.748005,5.089913,5.542861,3.320407,4.47201,3.26245,4.434801,3.115933,5.935422,4.746722,5.049057,4.825696,4.415348,7.022953,4.660791,5.573732,8.646494,6.656372,3.136313,4.742617,2.43323
2.509939,5.915123,4.455706,4.153598,6.341135,3.182446,7.982596,6.625162,6.634343,3.994227,5.61573,5.854536,3.389144,4.836605,5.27,3.390251,3.98906,5.108488,3.389338,1.815765,2.172299,4.79078,6.743719,6.898251,5.326344,6.361811,5.618257,3.730876,3.280841,6.968983,11.287431,2.163436,7.926838,4.118045,5.834526,5.682085,5.919262,4.497983,7.092702,4.324252,5.110969,3.798911,4.851952,4.74631,2.97913,4.652079,3.990769,3.887483,3.268523,6.387462,4.442312,5.784112,4.73732,3.556556,6.074821,4.181685,6.805924,7.900779,6.364355,2.621643,5.10455,3.503623
2.715773,5.289939,3.518052,3.106181,6.40839,3.37494,7.259919,6.500501,7.39986,3.331586,4.584946,5.686717,2.630249,4.120771,4.805103,3.34699,4.257793,4.283753,3.125135,1.813331,2.316659,4.713978,5.921324,7.127053,5.219478,6.29107,5.250509,3.221865,2.622647,6.195224,8.979664,1.663258,7.067539,3.952425,5.762392,5.300019,5.679347,4.606156,6.252944,4.605918,4.616216,3.11338,3.920678,4.980891,2.85708,4.519457,3.127813,3.350015,2.359009,6.174266,3.837311,5.135006,4.177138,3.396074,5.89532,3.813471,4.474397,8.537754,5.460409,1.968623,4.62161,2.387342
2.344121,5.061105,4.087313,3.075161,6.203664,2.969427,7.179427,6.322706,6.391906,3.280385,4.342214,5.767586,2.228664,3.807078,4.853564,3.201905,3.990954,4.079925,3.178444,1.875347,2.389961,4.459813,5.599337,6.973265,5.240273,6.059447,5.245929,3.120338,2.363961,6.28666,9.767883,1.752412,7.15304,3.988614,5.785378,5.403587,5.476008,3.65242,6.229923,4.753201,4.406926,3.174145,4.130121,4.493516,2.862244,4.144451,3.149824,3.131863,2.630463,6.197604,3.859311,4.945614,4.088174,3.197132,5.73575,3.759114,4.8904,7.904514,5.658512,2.031807,4.815554,2.424742
1.868435,6.509461,5.817625,3.934982,6.91369,2.45556,8.65346299999999,6.418849,8.059324,3.85671,5.714283,5.356311,2.615114,4.444141,5.538361,3.925172,4.111915,5.36301,3.720787,1.781376,1.981837,5.010467,6.545258,6.622575,5.784343,7.051334,5.665743,3.051499,2.798462,6.859352,11.392925,2.126685,8.117616,3.889408,6.322131,5.326332,5.532722,6.111669,8.097744,4.301034,4.891483,4.156118,4.700924,6.031811,3.201949,4.320946,2.685116,3.979603,5.820152,5.857004,5.545404,4.735926,5.593127,4.058032,6.722145,5.222155,4.692588,8.845619,6.48643,4.091982,4.672016,1.976496
