"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
1.8904458,5.9610343,4.0515823,3.7042646,6.6846876,2.788641,7.885208,6.119593,7.470271,4.0272713,5.14288,6.244233,2.4376626,4.17416,5.4305215,3.1905117,4.156603,4.7136736,2.982364,1.8397251,2.1731515,5.066763,6.2639894,6.8007727,5.63902,6.579866,5.52485,3.0693314,2.7442694,6.521476,9.999398,2.0831518,7.3210564,4.286589,5.8596344,5.350793,5.4083986,5.6871104,6.1623907,4.4948134,4.59395,3.381484,4.199027,4.8977323,3.2862084,4.3629394,3.312801,5.495575,2.1476526,5.9121265,4.4490056,5.0248666,4.230945,3.6154573,6.3366885,4.122279,5.001643,8.350349,6.0105696,2.5046568,4.6521764,1.6915928
1.9099962,5.063277,4.908322,3.4192586,6.419977,2.276584,7.3815,6.182051,6.5546036,3.4993677,4.544275,4.9991837,1.8118259,4.108457,4.596866,3.7050357,4.0246754,4.4231524,3.8553252,1.69629,2.073862,4.3468823,5.6785784,6.808426,5.4315395,6.2987013,5.47676,2.9790933,2.32936,6.3201933,10.462006,1.5198021,7.5278425,3.8916526,6.1712418,5.2057424,4.9712234,4.1813297,7.933509,4.4156284,4.0933733,3.7981927,4.403633,5.103965,3.0295398,3.755075,2.8556356,3.1055312,7.072713,5.8741603,4.881585,4.166957,5.905654,3.3852746,6.1408496,4.4008336,4.586098,7.7097535,5.764498,3.125864,4.650982,1.92109
2.026657,4.953146,4.9738655,3.6970165,6.240142,2.5939033,7.67965,6.6675262,6.0308967,3.409982,4.0986667,4.994052,1.7638656,3.7888563,5.0055857,3.0418777,3.5822406,4.2913632,2.9140522,1.802881,1.9433361,4.306871,6.188762,6.5538387,5.6145854,6.4342794,4.8317327,2.9927046,2.4819312,6.3662786,9.747258,1.4314713,7.4102974,4.3523974,5.943011,5.0791306,5.646784,4.5811796,6.5462933,4.475713,4.4470353,3.2450328,4.217007,4.510824,2.7708504,3.9572535,2.9826555,3.347456,3.0399396,5.4854,4.578936,4.6576214,4.213801,3.2167048,5.899495,3.8789556,4.1725836,8.085244,5.902048,2.6414719,4.3235083,1.7233467
2.0779443,6.789127,4.1243544,4.0590453,7.3160324,3.0908177,8.56106,6.0486255,7.2132897,3.8895404,5.92837,6.177515,2.5072906,4.7771893,5.717648,3.248482,4.376625,5.3977547,3.2969344,2.083704,2.2246299,5.4828706,6.463291,6.6676316,5.975404,6.760839,6.226294,3.6148543,2.995757,6.9874544,10.74145,2.0946763,7.5521717,4.1249056,6.2027917,5.505717,5.4992237,5.6062503,6.7947454,4.5236177,4.841713,3.8703513,4.488707,4.8610797,3.4950247,4.5357547,4.4277287,3.7825847,2.7123325,6.0131116,4.7004347,5.225882,4.6857777,3.8668945,6.3608484,4.4078712,5.351105,8.005763,6.4361057,2.7945738,4.764409,2.7337828
1.7505053,6.4626493,4.050633,3.4949753,7.6634316,2.1958485,8.188467,6.1688914,8.296857,3.875491,5.239629,4.801417,2.4627044,4.244721,4.9943075,3.1197307,3.9987698,5.6103573,3.2329502,1.8110068,1.8983779,5.1230135,7.1250553,6.6255817,5.7154956,6.6258554,6.2929854,2.9607997,2.6826248,6.6481357,11.81266,1.7284899,7.4300947,3.9287782,5.941954,5.6394105,5.2974463,7.0877376,6.773149,4.496025,4.357958,3.779917,4.2876315,5.996722,3.0583313,4.3924966,2.8767087,3.4063122,3.2992628,5.516011,4.590127,4.580862,5.535072,4.1875496,6.9247956,5.09748,4.1837416,8.504084,6.4841623,2.8513422,4.4296494,1.5822958
1.7015301,8.351546,3.3408697,3.9431174,7.153843,2.65399,8.513252,5.9925222,8.675802,4.201778,6.2282014,5.353588,2.4580715,5.0363135,7.0026,2.8334143,4.1954684,5.0687084,2.9474921,1.8963833,1.8062749,5.221202,7.023912,6.1453166,6.114416,7.4000287,6.047819,3.2410119,3.2692635,7.2374096,9.694372,1.8774874,7.7007046,4.0576634,5.5661654,4.9434633,5.5830293,7.671506,6.3809547,4.3688145,4.676102,3.3406773,4.4688687,4.6454287,3.1437464,4.4116006,3.4823153,4.495076,2.04353,6.228928,4.284778,5.090808,4.4462676,3.946727,7.208288,4.068209,5.0124526,8.085682,7.2162786,2.221675,4.401552,2.2125518
2.2726226,5.8366218,4.63685,4.9858265,6.4443245,2.953252,8.327823,6.7765226,6.3870163,3.5494242,5.3163342,5.4755855,3.3774989,4.389876,5.4929047,3.2478004,3.9134164,4.720247,3.2911012,1.7787576,1.973123,4.5522075,6.2373123,6.3798027,6.2905335,6.2873383,5.535204,3.835591,3.165792,7.0076475,11.599331,1.7740961,7.5513773,4.025311,6.3884854,5.5215344,5.5571423,4.4837723,7.390759,4.4587107,4.659062,3.598577,4.5217586,4.527183,2.967584,4.3432446,4.43937,3.7367225,3.036489,5.9140477,5.7878537,5.194388,4.4511266,3.5888317,5.9990005,5.2834535,5.5132656,7.4137173,6.5377626,4.4336424,4.7388716,3.5466895
2.7670927,5.3715014,3.8484132,2.780998,6.368464,3.9522464,6.8766575,6.199244,7.3385186,3.348108,4.7659082,5.3801875,2.5398753,3.9924223,4.6092305,3.3955865,4.203048,4.275755,3.3656988,1.8043449,2.3478794,4.65326,5.983036,7.1925545,5.048148,6.3915243,5.3299656,3.1103299,2.5337944,6.0574765,8.41219,1.7558641,7.025362,4.028968,5.91928,5.046452,5.6346235,4.1043935,6.5723724,4.5622597,4.462126,3.2845078,4.1071353,5.003818,2.9938502,4.5088286,3.0565944,3.1374693,2.0967832,5.9483843,3.4908662,5.1397014,4.351187,2.966684,5.979455,3.6048334,4.943482,9.118195,5.3365226,1.6825379,4.626942,2.6349013
2.9446526,5.056338,3.8685865,3.6539538,5.97655,3.6343067,7.3586454,6.9300284,5.597159,3.3436263,4.4203687,5.5133576,2.1686554,3.8014805,4.6109295,3.2935114,3.7915206,4.259611,3.1009429,1.8333559,2.4564795,4.341139,6.0643806,6.974032,5.564286,6.175832,5.223478,3.363648,2.800001,6.1386814,9.705427,1.6134584,7.1096153,3.918433,5.6870255,5.3295627,6.2028666,3.299534,6.468197,4.5307817,4.422736,3.1565912,4.354557,3.833554,2.891802,4.2024827,3.678854,3.219164,2.274752,5.7553306,3.9123902,5.1464505,3.7465684,2.834462,5.802014,3.9569578,5.3822603,7.874024,5.6239552,2.2735047,4.9045534,2.7386155
1.7836317,7.036332,5.1771464,3.6482954,7.170497,2.4377356,9.51848,6.427759,8.39647,4.3825417,6.1567063,5.2470427,3.003972,4.2846,5.3584127,4.449616,4.0324564,5.7958293,4.321139,1.5458732,2.0213754,5.230833,6.353562,6.9278727,6.2976027,7.281444,5.9031906,3.0388865,3.3048692,7.056008,11.209861,2.144831,7.8807616,3.9107378,7.049962,5.3911104,5.2673335,6.0869083,8.179811,4.2431006,5.6373677,4.103269,4.9666233,6.46777,3.8967547,4.131536,2.960556,3.6690073,6.998581,5.952334,5.156179,4.4000974,5.8476114,4.412945,7.357753,6.1702547,5.445589,9.688423,5.959787,4.521643,4.767224,1.6997906
