"OID20196","OID20101","OID20207","OID20162","OID20652","OID20715","OID20656","OID20668","OID20697","OID20610","OID20671","OID20666","OID20477","OID20675","OID20693","OID20762","OID20606","OID20574","OID20628","OID20591","OID20586","OID20719","OID20735","OID20611","OID20645","OID20631","OID20694","OID20696","OID20600","OID20655","OID20672","OID20473","OID20650","OID20661","OID20613","OID20624","OID20674","OID20523","OID20724","OID20712","OID20687","OID20621","OID20695","OID21042","OID21124","OID20976","OID20985","OID21030","OID21031","OID21018","OID20955","OID20995","OID20966","OID20953","OID21004","OID21414","OID21402","OID21466","OID21374","OID21375","OID21449","OID21411"
2.3646946,6.139546,4.3803825,4.1648493,6.726284,3.2531564,8.217388,6.6153784,7.5118012,3.9315627,5.691224,5.7413073,2.9583979,4.487141,5.2013917,3.6174304,4.3733516,5.074533,3.4198825,2.0397396,2.2091348,4.8453145,6.5837984,6.8977947,5.712974,6.779299,5.6193376,3.372971,2.9726748,6.4749875,10.314672,2.1664824,7.734492,4.1168714,6.1378236,5.3762035,5.883898,5.1521688,7.0553923,4.5921626,4.952122,3.6193209,4.7116265,5.3696136,3.23131,4.7263627,3.4780753,3.777175,3.4563515,6.0823674,4.8108873,5.3684616,4.7614164,3.7997801,6.276276,4.5744343,5.643378,8.517034,6.243952,3.0329819,4.877159,3.116168
2.3137743,5.475975,4.232199,3.6051824,6.460584,2.9853325,7.4854345,6.3114066,7.0357957,3.4240348,4.887645,5.416952,2.2652087,3.9640725,4.821133,3.3431642,4.0492034,4.6168704,3.1904082,1.8590796,2.2131877,4.606497,6.1891937,6.8170753,5.4264536,6.483165,5.291907,3.0921602,2.5710063,6.252009,9.572653,1.6933451,7.2423754,3.9948242,5.8192883,5.2183414,5.4875355,4.50875,6.5675306,4.5814033,4.446254,3.346973,4.2147417,4.9423494,2.9546685,4.302134,3.1027844,3.3155723,2.9764946,5.956342,4.3535624,4.893697,4.384013,3.4034333,6.012104,4.144184,4.8536005,8.342076,5.790747,2.5431812,4.620485,2.3644576
2.2886014,4.641176,4.0074964,3.0547802,6.1266403,2.7720902,6.8508315,6.051218,6.5392914,2.9466403,4.146943,5.1650443,1.6885674,3.424872,4.456673,3.1666539,3.7565086,4.209145,3.0056176,1.6859963,2.2613137,4.3135667,5.8435884,6.761636,5.1470265,6.118337,4.909235,2.8055868,2.1610906,5.96722,8.736443,1.2563218,6.714216,3.864539,5.561219,5.087226,5.1546907,3.7827046,6.0806947,4.581678,3.9642386,3.031376,3.7653797,4.581675,2.6713665,3.9110153,2.7403624,2.7457879,2.51436,5.8363137,3.905109,4.4050393,4.038992,3.062724,5.7064376,3.753567,4.0883946,8.1406765,5.3671575,2.043868,4.368077,1.51048
2.3808527,6.248315,4.381543,4.268727,6.778587,3.3238034,8.320287,6.660296,7.582758,3.9947662,5.813201,5.818927,2.9956923,4.573813,5.2502747,3.6332347,4.4045696,5.0582414,3.4557836,2.0729113,2.2412002,4.889716,6.642665,6.9181905,5.744933,6.846459,5.6471057,3.4514933,3.042131,6.528936,10.449428,2.2258475,7.8151984,4.1399627,6.1780972,5.4232926,5.945415,5.216421,7.1325636,4.598024,5.0377374,3.6901755,4.780996,5.421151,3.294678,4.8237844,3.5791693,3.7913156,3.4799144,6.0900226,4.8789396,5.459899,4.81795,3.8239384,6.32381,4.629808,5.7933927,8.541736,6.2919927,3.1315663,4.951375,3.2838387
2.3495402,5.6132183,4.277669,3.7060816,6.5221434,3.0187562,7.5833416,6.352066,7.138148,3.4951658,4.988286,5.453876,2.3513541,4.052553,4.872878,3.3752942,4.091515,4.683971,3.2216349,1.8859025,2.2054658,4.6545296,6.232578,6.830603,5.4694366,6.5525513,5.3562784,3.1386554,2.6333935,6.294703,9.696701,1.7648746,7.3230824,4.007912,5.866289,5.239306,5.535931,4.6270337,6.647947,4.5795074,4.521116,3.3994148,4.2884245,5.0031443,2.9999473,4.3652353,3.1517117,3.4178627,3.0459707,5.981537,4.423124,4.973017,4.4312396,3.4527667,6.0592785,4.2064223,4.956897,8.388115,5.862242,2.62606,4.663897,2.5073369
2.3729205,6.132913,4.38363,4.1779737,6.7248282,3.2613952,8.201441,6.6218095,7.496882,3.9300113,5.679626,5.751135,2.9452608,4.5018873,5.182764,3.6232684,4.375986,5.0596256,3.4138377,2.0303648,2.2095902,4.842337,6.5729456,6.910025,5.708902,6.762953,5.628151,3.3677819,2.962986,6.488116,10.322548,2.1742127,7.731051,4.117795,6.1508636,5.366312,5.8938684,5.1360674,7.0425267,4.590563,4.9548326,3.621482,4.7114305,5.3711953,3.2226474,4.737862,3.4721875,3.7700913,3.4627612,6.08198,4.80992,5.369857,4.749456,3.8082616,6.266606,4.5771966,5.6682954,8.507453,6.2383647,3.0439005,4.86763,3.118632
2.4126403,6.3183646,4.3838816,4.3542953,6.8295503,3.3820653,8.4029875,6.681246,7.6288395,4.061294,5.9066615,5.8525114,3.052077,4.610279,5.3102365,3.6453369,4.438308,5.096862,3.4837286,2.116774,2.2521386,4.9595556,6.712154,6.944603,5.792297,6.903572,5.689228,3.5259702,3.121724,6.5610895,10.497449,2.2755942,7.8761687,4.161587,6.1949825,5.456351,5.9968805,5.2136655,7.2024484,4.6029696,5.1286016,3.7468965,4.7919245,5.4333057,3.3346624,4.9034038,3.6598585,3.8434453,3.4365041,6.1043143,4.920986,5.5410047,4.8647094,3.8291392,6.3608155,4.6627655,5.9135785,8.58638,6.325177,3.1608067,5.0247583,3.4766102
2.4124563,5.245973,4.2157373,3.5018487,6.3992634,2.9336777,7.262112,6.23189,6.992973,3.2604094,4.5983047,5.3310466,2.0877652,3.804712,4.6789145,3.3096976,3.9518528,4.495731,3.1456976,1.8015755,2.197003,4.521958,6.0393434,6.820025,5.3454056,6.4324994,5.195472,3.0171638,2.4351606,6.152842,9.285201,1.5837734,7.0813413,3.9177732,5.767328,5.1769886,5.373722,4.326547,6.435378,4.56815,4.3043275,3.268784,4.086802,4.859395,2.8689837,4.204727,2.9675956,3.1971927,2.8367798,5.9465876,4.2272925,4.745545,4.2510996,3.29501,5.916186,4.036243,4.557883,8.330621,5.6793423,2.4089265,4.5528064,2.129523
2.417188,5.170133,4.1876016,3.4416401,6.353831,2.9219053,7.199368,6.207117,6.9151692,3.2075162,4.5213346,5.3113422,2.0192928,3.755468,4.642138,3.291279,3.9212134,4.4437323,3.1247811,1.7866035,2.2091944,4.48897,6.00582,6.8150935,5.315153,6.3783298,5.150042,2.9843743,2.3961275,6.128746,9.207299,1.5326121,7.023263,3.912074,5.73998,5.1656218,5.3438745,4.247996,6.3863816,4.5740566,4.2553964,3.2313259,4.0386634,4.8229365,2.837829,4.161565,2.9397345,3.1168075,2.785955,5.9297137,4.1760025,4.6954875,4.2212644,3.2589717,5.883295,3.9912896,4.496213,8.306723,5.6327224,2.362892,4.52725,2.0517137
2.3528216,5.9308386,4.3497195,3.9103043,6.6518893,3.1064453,7.831387,6.4610033,7.326094,3.6955724,5.315058,5.561075,2.5987444,4.261564,5.0218053,3.456431,4.222088,4.864449,3.2929876,1.946801,2.1992347,4.7720895,6.386104,6.861508,5.5905104,6.6880317,5.5150304,3.251866,2.8018625,6.403897,10.037087,1.9367349,7.5474644,4.0635295,5.962377,5.290029,5.6728683,4.914074,6.837927,4.577345,4.7108417,3.5234656,4.462699,5.152735,3.103864,4.5175776,3.2922385,3.6473143,3.2357643,6.03562,4.595015,5.169762,4.580201,3.599607,6.1858625,4.3678575,5.2798543,8.458376,6.01917,2.8157117,4.753173,2.8240798
